------------------------------------------------------------------------------------------------------
|  run     |  epoch  |  train_loss  |  train_acc  |  val_acc  |  tta_val_acc  |  total_time_seconds  |
|          |      2  |      1.1924  |     0.8389  |   0.7654  |               |              1.1412  |
|          |      3  |      1.1328  |     0.8711  |   0.8213  |               |              1.4882  |
|          |      4  |      1.1270  |     0.8789  |   0.8620  |               |              1.8347  |
|          |      5  |      1.1230  |     0.8809  |   0.8545  |               |              2.1816  |
|          |      6  |      1.0361  |     0.9307  |   0.9040  |               |              2.5280  |
|          |      7  |      1.0381  |     0.9170  |   0.8974  |               |              2.8748  |
|          |      8  |      0.9653  |     0.9668  |   0.9227  |               |              3.2214  |
|          |      9  |      0.9419  |     0.9746  |   0.9342  |               |              3.5401  |
|          |   eval  |      0.9419  |     0.9746  |   0.9342  |       0.9387  |              3.6894  |
------------------------------------------------------------------------------------------------------
|      18  |      0  |      1.4326  |     0.7188  |   0.6437  |               |              0.3854  |
|          |      1  |      1.2451  |     0.8184  |   0.7476  |               |              0.7635  |
|          |      2  |      1.2041  |     0.8320  |   0.6991  |               |              1.1409  |
|          |      3  |      1.1846  |     0.8525  |   0.7715  |               |              1.4880  |
|          |      4  |      1.1191  |     0.8809  |   0.8601  |               |              1.8345  |
|          |      5  |      1.0947  |     0.8975  |   0.8444  |               |              2.1813  |
|          |      6  |      1.0566  |     0.9170  |   0.8931  |               |              2.5278  |
|          |      7  |      1.0166  |     0.9395  |   0.9067  |               |              2.8747  |
|          |      8  |      0.9697  |     0.9639  |   0.9168  |               |              3.2212  |
|          |      9  |      0.9321  |     0.9863  |   0.9322  |               |              3.5399  |
|          |   eval  |      0.9321  |     0.9863  |   0.9322  |       0.9367  |              3.6893  |
------------------------------------------------------------------------------------------------------
|      19  |      0  |      1.4092  |     0.6992  |   0.6673  |               |              0.3852  |
|          |      1  |      1.2324  |     0.8242  |   0.7866  |               |              0.7633  |
|          |      2  |      1.2510  |     0.8086  |   0.8021  |               |              1.1406  |
|          |      3  |      1.1562  |     0.8574  |   0.8193  |               |              1.4876  |
|          |      4  |      1.1348  |     0.8750  |   0.8655  |               |              1.8341  |
|          |      5  |      1.0928  |     0.8965  |   0.8574  |               |              2.1809  |
|          |      6  |      1.0439  |     0.9248  |   0.8985  |               |              2.5274  |
|          |      7  |      1.0186  |     0.9307  |   0.8951  |               |              2.8742  |
|          |      8  |      0.9692  |     0.9600  |   0.9243  |               |              3.2208  |
|          |      9  |      0.9419  |     0.9824  |   0.9326  |               |              3.5396  |
|          |   eval  |      0.9419  |     0.9824  |   0.9326  |       0.9398  |              3.6890  |
------------------------------------------------------------------------------------------------------
|      20  |      0  |      1.4297  |     0.7100  |   0.5870  |               |              0.3853  |
|          |      1  |      1.2637  |     0.8066  |   0.7460  |               |              0.7636  |
|          |      2  |      1.1904  |     0.8418  |   0.7972  |               |              1.1411  |
|          |      3  |      1.1494  |     0.8740  |   0.8146  |               |              1.4884  |
|          |      4  |      1.1406  |     0.8662  |   0.8556  |               |              1.8349  |
|          |      5  |      1.0762  |     0.9004  |   0.8570  |               |              2.1816  |
|          |      6  |      1.0459  |     0.9131  |   0.8666  |               |              2.5282  |
|          |      7  |      1.0293  |     0.9219  |   0.8942  |               |              2.8752  |
|          |      8  |      0.9722  |     0.9570  |   0.9202  |               |              3.2216  |
|          |      9  |      0.9487  |     0.9756  |   0.9319  |               |              3.5402  |
|          |   eval  |      0.9487  |     0.9756  |   0.9319  |       0.9375  |              3.6896  |
------------------------------------------------------------------------------------------------------
|      21  |      0  |      1.4180  |     0.7061  |   0.6048  |               |              0.3855  |
