------------------------------------------------------------------------------------------------------
|  run     |  epoch  |  train_loss  |  train_acc  |  val_acc  |  tta_val_acc  |  total_time_seconds  |
|          |      2  |      1.1982  |     0.8369  |   0.7770  |               |              1.1432  |
|          |      3  |      1.1562  |     0.8623  |   0.8227  |               |              1.4913  |
|          |      4  |      1.1621  |     0.8574  |   0.8452  |               |              1.8386  |
|          |      5  |      1.0928  |     0.8906  |   0.8246  |               |              2.1864  |
|          |      6  |      1.0430  |     0.9277  |   0.8846  |               |              2.5338  |
|          |      7  |      1.0400  |     0.9180  |   0.9040  |               |              2.8816  |
|          |      8  |      0.9634  |     0.9678  |   0.9186  |               |              3.2290  |
|          |      9  |      0.9395  |     0.9766  |   0.9316  |               |              3.5487  |
|          |   eval  |      0.9395  |     0.9766  |   0.9316  |       0.9406  |              3.6980  |
------------------------------------------------------------------------------------------------------
|      17  |      0  |      1.4600  |     0.6914  |   0.5830  |               |              0.3860  |
|          |      1  |      1.2666  |     0.8037  |   0.7429  |               |              0.7651  |
|          |      2  |      1.1904  |     0.8486  |   0.6953  |               |              1.1435  |
|          |      3  |      1.1523  |     0.8750  |   0.7937  |               |              1.4915  |
|          |      4  |      1.1504  |     0.8604  |   0.8002  |               |              1.8390  |
|          |      5  |      1.1133  |     0.8779  |   0.8400  |               |              2.1868  |
|          |      6  |      1.0674  |     0.9072  |   0.8753  |               |              2.5341  |
|          |      7  |      1.0303  |     0.9277  |   0.9051  |               |              2.8820  |
|          |      8  |      0.9639  |     0.9648  |   0.9201  |               |              3.2295  |
|          |      9  |      0.9399  |     0.9814  |   0.9319  |               |              3.5492  |
|          |   eval  |      0.9399  |     0.9814  |   0.9319  |       0.9400  |              3.6985  |
------------------------------------------------------------------------------------------------------
|      18  |      0  |      1.4658  |     0.6982  |   0.6608  |               |              0.3861  |
|          |      1  |      1.2764  |     0.7998  |   0.7295  |               |              0.7652  |
|          |      2  |      1.2070  |     0.8330  |   0.7999  |               |              1.1436  |
|          |      3  |      1.1904  |     0.8447  |   0.8024  |               |              1.4917  |
|          |      4  |      1.1201  |     0.8809  |   0.8279  |               |              1.8392  |
|          |      5  |      1.0967  |     0.8867  |   0.8675  |               |              2.1871  |
|          |      6  |      1.0479  |     0.9189  |   0.8903  |               |              2.5346  |
|          |      7  |      1.0088  |     0.9355  |   0.8998  |               |              2.8824  |
|          |      8  |      0.9785  |     0.9492  |   0.9237  |               |              3.2299  |
|          |      9  |      0.9434  |     0.9795  |   0.9322  |               |              3.5496  |
|          |   eval  |      0.9434  |     0.9795  |   0.9322  |       0.9416  |              3.6988  |
------------------------------------------------------------------------------------------------------
|      19  |      0  |      1.4209  |     0.7012  |   0.6679  |               |              0.3860  |
|          |      1  |      1.2969  |     0.7871  |   0.6424  |               |              0.7651  |
|          |      2  |      1.1797  |     0.8486  |   0.7484  |               |              1.1433  |
|          |      3  |      1.1396  |     0.8643  |   0.8364  |               |              1.4914  |
|          |      4  |      1.1260  |     0.8887  |   0.7870  |               |              1.8388  |
|          |      5  |      1.0957  |     0.8965  |   0.8668  |               |              2.1866  |
|          |      6  |      1.0293  |     0.9248  |   0.8885  |               |              2.5340  |
|          |      7  |      1.0264  |     0.9346  |   0.9005  |               |              2.8818  |
|          |      8  |      0.9819  |     0.9609  |   0.9212  |               |              3.2292  |
|          |      9  |      0.9312  |     0.9824  |   0.9316  |               |              3.5491  |
|          |   eval  |      0.9312  |     0.9824  |   0.9316  |       0.9392  |              3.6984  |
------------------------------------------------------------------------------------------------------
|      20  |      0  |      1.4502  |     0.6934  |   0.6875  |               |              0.3859  |
|          |      1  |      1.2705  |     0.7979  |   0.7617  |               |              0.7650  |
|          |      2  |      1.2236  |     0.8252  |   0.8167  |               |              1.1433  |
|          |      3  |      1.1533  |     0.8584  |   0.8063  |               |              1.4914  |
|          |      4  |      1.1631  |     0.8633  |   0.8338  |               |              1.8389  |
|          |      5  |      1.0684  |     0.9150  |   0.8680  |               |              2.1867  |
|          |      6  |      1.0391  |     0.9180  |   0.8769  |               |              2.5343  |
|          |      7  |      1.0146  |     0.9414  |   0.9151  |               |              2.8822  |
|          |      8  |      0.9624  |     0.9717  |   0.9220  |               |              3.2296  |
|          |      9  |      0.9414  |     0.9756  |   0.9320  |               |              3.5493  |
|          |   eval  |      0.9414  |     0.9756  |   0.9320  |       0.9407  |              3.6985  |
------------------------------------------------------------------------------------------------------
|      21  |      0  |      1.4346  |     0.6982  |   0.6873  |               |              0.3860  |
|          |      1  |      1.2930  |     0.7832  |   0.7128  |               |              0.7652  |
|          |      2  |      1.1777  |     0.8506  |   0.8012  |               |              1.1435  |
|          |      3  |      1.1670  |     0.8496  |   0.8366  |               |              1.4915  |
|          |      4  |      1.1514  |     0.8545  |   0.8534  |               |              1.8389  |
|          |      5  |      1.0859  |     0.8936  |   0.8660  |               |              2.1868  |
|          |      6  |      1.0430  |     0.9238  |   0.8985  |               |              2.5341  |
|          |      7  |      1.0176  |     0.9316  |   0.8955  |               |              2.8819  |
|          |      8  |      0.9771  |     0.9561  |   0.9214  |               |              3.2294  |
|          |      9  |      0.9399  |     0.9766  |   0.9306  |               |              3.5490  |
|          |   eval  |      0.9399  |     0.9766  |   0.9306  |       0.9411  |              3.6983  |
------------------------------------------------------------------------------------------------------
|      22  |      0  |      1.4883  |     0.6758  |   0.6461  |               |              0.3859  |
|          |      1  |      1.2373  |     0.8242  |   0.7251  |               |              0.7649  |
|          |      2  |      1.2070  |     0.8369  |   0.7853  |               |              1.1434  |
|          |      3  |      1.1748  |     0.8418  |   0.8262  |               |              1.4915  |
|          |      4  |      1.1455  |     0.8711  |   0.8323  |               |              1.8390  |
|          |      5  |      1.0908  |     0.8896  |   0.8418  |               |              2.1868  |
|          |      6  |      1.0566  |     0.9131  |   0.8780  |               |              2.5343  |
|          |      7  |      1.0322  |     0.9287  |   0.8991  |               |              2.8822  |
|          |      8  |      0.9722  |     0.9600  |   0.9219  |               |              3.2296  |
|          |      9  |      0.9429  |     0.9805  |   0.9312  |               |              3.5493  |
|          |   eval  |      0.9429  |     0.9805  |   0.9312  |       0.9400  |              3.6986  |
------------------------------------------------------------------------------------------------------
|      23  |      0  |      1.4629  |     0.6855  |   0.6258  |               |              0.3862  |
|          |      1  |      1.2520  |     0.8213  |   0.6799  |               |              0.7653  |
|          |      2  |      1.2285  |     0.8330  |   0.7617  |               |              1.1437  |
|          |      3  |      1.1562  |     0.8584  |   0.8358  |               |              1.4917  |
|          |      4  |      1.1436  |     0.8643  |   0.8268  |               |              1.8391  |
|          |      5  |      1.0684  |     0.9062  |   0.8419  |               |              2.1869  |
|          |      6  |      1.0400  |     0.9238  |   0.8987  |               |              2.5343  |
|          |      7  |      1.0127  |     0.9307  |   0.8961  |               |              2.8821  |
|          |      8  |      0.9736  |     0.9570  |   0.9216  |               |              3.2295  |
|          |      9  |      0.9438  |     0.9756  |   0.9312  |               |              3.5492  |
|          |   eval  |      0.9438  |     0.9756  |   0.9312  |       0.9397  |              3.6984  |
------------------------------------------------------------------------------------------------------
|      24  |      0  |      1.4492  |     0.6885  |   0.6793  |               |              0.3859  |
|          |      1  |      1.2930  |     0.7783  |   0.6635  |               |              0.7649  |
|          |      2  |      1.1895  |     0.8447  |   0.7644  |               |              1.1433  |
|          |      3  |      1.1611  |     0.8613  |   0.8103  |               |              1.4912  |
|          |      4  |      1.1729  |     0.8525  |   0.8575  |               |              1.8386  |
|          |      5  |      1.0977  |     0.8867  |   0.8371  |               |              2.1864  |
|          |      6  |      1.0371  |     0.9258  |   0.8983  |               |              2.5337  |
|          |      7  |      1.0059  |     0.9424  |   0.9044  |               |              2.8815  |
|          |      8  |      0.9717  |     0.9580  |   0.9225  |               |              3.2289  |
|          |      9  |      0.9380  |     0.9766  |   0.9323  |               |              3.5485  |
|          |   eval  |      0.9380  |     0.9766  |   0.9323  |       0.9379  |              3.6978  |
------------------------------------------------------------------------------------------------------
Mean: 0.9403    Std: 0.0012
/workspace/ese-3060-project/logs/c1cf5d83-17b9-46f9-a623-3ec00849110f/log.pt
