------------------------------------------------------------------------------------------------------
|  run     |  epoch  |  train_loss  |  train_acc  |  val_acc  |  tta_val_acc  |  total_time_seconds  |
|      10  |      0  |      1.4111  |     0.7139  |   0.6475  |               |              0.3864  |
|          |      1  |      1.3105  |     0.7803  |   0.7296  |               |              0.7659  |
|          |      2  |      1.2021  |     0.8496  |   0.7339  |               |              1.1447  |
|          |      3  |      1.1729  |     0.8457  |   0.8146  |               |              1.4929  |
|          |      4  |      1.1309  |     0.8740  |   0.8732  |               |              1.8406  |
|          |      5  |      1.0957  |     0.9004  |   0.8720  |               |              2.1887  |
|          |      6  |      1.0371  |     0.9248  |   0.8752  |               |              2.5365  |
|          |      7  |      1.0166  |     0.9404  |   0.9040  |               |              2.8847  |
|          |      8  |      0.9844  |     0.9580  |   0.9202  |               |              3.2324  |
|          |      9  |      0.9526  |     0.9727  |   0.9335  |               |              3.5522  |
|          |   eval  |      0.9526  |     0.9727  |   0.9335  |       0.9416  |              3.7015  |
------------------------------------------------------------------------------------------------------
|      11  |      0  |      1.4580  |     0.6885  |   0.6094  |               |              0.3865  |
|          |      1  |      1.2705  |     0.8037  |   0.7179  |               |              0.7660  |
|          |      2  |      1.2061  |     0.8350  |   0.7825  |               |              1.1446  |
|          |      3  |      1.1611  |     0.8633  |   0.8288  |               |              1.4928  |
|          |      4  |      1.1426  |     0.8691  |   0.8666  |               |              1.8406  |
|          |      5  |      1.0918  |     0.8955  |   0.8638  |               |              2.1886  |
|          |      6  |      1.0391  |     0.9199  |   0.8881  |               |              2.5363  |
|          |      7  |      1.0430  |     0.9219  |   0.8945  |               |              2.8843  |
|          |      8  |      0.9663  |     0.9658  |   0.9220  |               |              3.2321  |
|          |      9  |      0.9458  |     0.9824  |   0.9335  |               |              3.5518  |
|          |   eval  |      0.9458  |     0.9824  |   0.9335  |       0.9409  |              3.7011  |
------------------------------------------------------------------------------------------------------
|      12  |      0  |      1.4082  |     0.7344  |   0.6727  |               |              0.3865  |
|          |      1  |      1.2744  |     0.7949  |   0.7582  |               |              0.7660  |
|          |      2  |      1.2109  |     0.8271  |   0.7855  |               |              1.1448  |
|          |      3  |      1.1777  |     0.8457  |   0.7825  |               |              1.4933  |
|          |      4  |      1.1094  |     0.8877  |   0.8564  |               |              1.8410  |
|          |      5  |      1.0771  |     0.9023  |   0.8587  |               |              2.1891  |
|          |      6  |      1.0508  |     0.9082  |   0.8873  |               |              2.5369  |
|          |      7  |      1.0283  |     0.9307  |   0.9042  |               |              2.8850  |
|          |      8  |      0.9712  |     0.9609  |   0.9236  |               |              3.2328  |
|          |      9  |      0.9395  |     0.9795  |   0.9342  |               |              3.5528  |
|          |   eval  |      0.9395  |     0.9795  |   0.9342  |       0.9414  |              3.7020  |
------------------------------------------------------------------------------------------------------
|      13  |      0  |      1.4307  |     0.7178  |   0.6180  |               |              0.3866  |
|          |      1  |      1.2568  |     0.8047  |   0.7649  |               |              0.7661  |
|          |      2  |      1.1924  |     0.8545  |   0.7607  |               |              1.1449  |
|          |      3  |      1.1445  |     0.8750  |   0.7914  |               |              1.4930  |
|          |      4  |      1.1250  |     0.8691  |   0.8518  |               |              1.8408  |
|          |      5  |      1.0977  |     0.8896  |   0.8653  |               |              2.1889  |
|          |      6  |      1.0547  |     0.9189  |   0.8776  |               |              2.5366  |
|          |      7  |      1.0215  |     0.9307  |   0.9056  |               |              2.8845  |
|          |      8  |      0.9712  |     0.9580  |   0.9209  |               |              3.2323  |
|          |      9  |      0.9297  |     0.9893  |   0.9309  |               |              3.5523  |
|          |   eval  |      0.9297  |     0.9893  |   0.9309  |       0.9373  |              3.7015  |
------------------------------------------------------------------------------------------------------
|      14  |      0  |      1.4756  |     0.6855  |   0.6011  |               |              0.3865  |
|          |      1  |      1.2412  |     0.8271  |   0.8047  |               |              0.7659  |
|          |      2  |      1.2080  |     0.8428  |   0.8055  |               |              1.1447  |
|          |      3  |      1.1357  |     0.8770  |   0.8446  |               |              1.4932  |
|          |      4  |      1.1406  |     0.8740  |   0.7847  |               |              1.8409  |
|          |      5  |      1.0889  |     0.8916  |   0.8584  |               |              2.1888  |
|          |      6  |      1.0459  |     0.9258  |   0.8923  |               |              2.5366  |
|          |      7  |      1.0195  |     0.9277  |   0.8986  |               |              2.8848  |
|          |      8  |      0.9731  |     0.9629  |   0.9230  |               |              3.2324  |
|          |      9  |      0.9492  |     0.9746  |   0.9305  |               |              3.5522  |
|          |   eval  |      0.9492  |     0.9746  |   0.9305  |       0.9404  |              3.7014  |
------------------------------------------------------------------------------------------------------
|      15  |      0  |      1.4619  |     0.6836  |   0.6719  |               |              0.3865  |
|          |      1  |      1.2275  |     0.8330  |   0.7488  |               |              0.7660  |
|          |      2  |      1.1748  |     0.8525  |   0.7708  |               |              1.1446  |
|          |      3  |      1.1611  |     0.8662  |   0.8119  |               |              1.4928  |
|          |      4  |      1.1494  |     0.8525  |   0.8435  |               |              1.8405  |
|          |      5  |      1.0869  |     0.9092  |   0.8349  |               |              2.1886  |
|          |      6  |      1.0283  |     0.9316  |   0.8989  |               |              2.5361  |
|          |      7  |      1.0146  |     0.9434  |   0.9001  |               |              2.8841  |
|          |      8  |      0.9614  |     0.9727  |   0.9235  |               |              3.2318  |
|          |      9  |      0.9419  |     0.9746  |   0.9322  |               |              3.5518  |
|          |   eval  |      0.9419  |     0.9746  |   0.9322  |       0.9421  |              3.7010  |
------------------------------------------------------------------------------------------------------
|      16  |      0  |      1.4268  |     0.7061  |   0.5952  |               |              0.3863  |
|          |      1  |      1.3262  |     0.7773  |   0.7287  |               |              0.7658  |
|          |      2  |      1.1816  |     0.8506  |   0.7566  |               |              1.1445  |
|          |      3  |      1.1494  |     0.8555  |   0.7856  |               |              1.4929  |
|          |      4  |      1.1318  |     0.8740  |   0.8567  |               |              1.8405  |
|          |      5  |      1.0771  |     0.9043  |   0.8669  |               |              2.1886  |
|          |      6  |      1.0469  |     0.9160  |   0.8793  |               |              2.5365  |
|          |      7  |      1.0176  |     0.9385  |   0.8926  |               |              2.8847  |
|          |      8  |      0.9761  |     0.9551  |   0.9250  |               |              3.2324  |
|          |      9  |      0.9424  |     0.9756  |   0.9333  |               |              3.5522  |
|          |   eval  |      0.9424  |     0.9756  |   0.9333  |       0.9392  |              3.7015  |
------------------------------------------------------------------------------------------------------
|      17  |      0  |      1.4111  |     0.7266  |   0.5896  |               |              0.3865  |
|          |      1  |      1.3076  |     0.7773  |   0.7068  |               |              0.7660  |
|          |      2  |      1.1885  |     0.8418  |   0.7899  |               |              1.1447  |
|          |      3  |      1.1602  |     0.8535  |   0.8193  |               |              1.4931  |
|          |      4  |      1.1328  |     0.8672  |   0.8559  |               |              1.8409  |
|          |      5  |      1.0820  |     0.9043  |   0.8565  |               |              2.1890  |
|          |      6  |      1.0391  |     0.9229  |   0.8627  |               |              2.5366  |
|          |      7  |      1.0312  |     0.9238  |   0.9010  |               |              2.8847  |
|          |      8  |      0.9819  |     0.9551  |   0.9227  |               |              3.2324  |
|          |      9  |      0.9575  |     0.9678  |   0.9312  |               |              3.5524  |
|          |   eval  |      0.9575  |     0.9678  |   0.9312  |       0.9394  |              3.7016  |
------------------------------------------------------------------------------------------------------
|      18  |      0  |      1.4541  |     0.7021  |   0.6625  |               |              0.3863  |
|          |      1  |      1.2568  |     0.8096  |   0.7110  |               |              0.7658  |
|          |      2  |      1.1895  |     0.8506  |   0.7835  |               |              1.1445  |
|          |      3  |      1.1445  |     0.8652  |   0.8486  |               |              1.4927  |
|          |      4  |      1.1396  |     0.8721  |   0.8229  |               |              1.8403  |
|          |      5  |      1.0674  |     0.9033  |   0.8745  |               |              2.1882  |
|          |      6  |      1.0605  |     0.9053  |   0.8836  |               |              2.5359  |
|          |      7  |      1.0156  |     0.9385  |   0.9009  |               |              2.8839  |
|          |      8  |      0.9766  |     0.9600  |   0.9271  |               |              3.2315  |
|          |      9  |      0.9390  |     0.9805  |   0.9352  |               |              3.5514  |
|          |   eval  |      0.9390  |     0.9805  |   0.9352  |       0.9421  |              3.7006  |
------------------------------------------------------------------------------------------------------
|      19  |      0  |      1.4424  |     0.7051  |   0.7029  |               |              0.3864  |
|          |      1  |      1.2344  |     0.8203  |   0.7179  |               |              0.7659  |
|          |      2  |      1.2217  |     0.8350  |   0.7010  |               |              1.1446  |
|          |      3  |      1.1455  |     0.8711  |   0.7553  |               |              1.4929  |
|          |      4  |      1.1289  |     0.8740  |   0.8692  |               |              1.8406  |
|          |      5  |      1.0938  |     0.8887  |   0.8582  |               |              2.1887  |
|          |      6  |      1.0479  |     0.9160  |   0.8874  |               |              2.5363  |
|          |      7  |      1.0264  |     0.9287  |   0.9011  |               |              2.8842  |
|          |      8  |      0.9648  |     0.9678  |   0.9215  |               |              3.2321  |
|          |      9  |      0.9487  |     0.9668  |   0.9341  |               |              3.5520  |
|          |   eval  |      0.9487  |     0.9668  |   0.9341  |       0.9407  |              3.7012  |
------------------------------------------------------------------------------------------------------
|      20  |      0  |      1.4248  |     0.7100  |   0.6481  |               |              0.3863  |
|          |      1  |      1.2637  |     0.8027  |   0.7910  |               |              0.7657  |
|          |      2  |      1.2490  |     0.8008  |   0.7831  |               |              1.1444  |
|          |      3  |      1.1357  |     0.8721  |   0.7919  |               |              1.4927  |
|          |      4  |      1.1357  |     0.8691  |   0.8294  |               |              1.8404  |
|          |      5  |      1.0869  |     0.8955  |   0.8416  |               |              2.1883  |
|          |      6  |      1.0293  |     0.9336  |   0.8820  |               |              2.5358  |
|          |      7  |      1.0137  |     0.9424  |   0.8855  |               |              2.8839  |
|          |      8  |      0.9824  |     0.9531  |   0.9160  |               |              3.2315  |
|          |      9  |      0.9390  |     0.9814  |   0.9308  |               |              3.5513  |
|          |   eval  |      0.9390  |     0.9814  |   0.9308  |       0.9397  |              3.7006  |
------------------------------------------------------------------------------------------------------
|      21  |      0  |      1.4375  |     0.7158  |   0.6711  |               |              0.3863  |
|          |      1  |      1.2852  |     0.7832  |   0.7439  |               |              0.7659  |
|          |      2  |      1.1904  |     0.8369  |   0.7883  |               |              1.1446  |
|          |      3  |      1.1846  |     0.8340  |   0.8197  |               |              1.4926  |
|          |      4  |      1.1133  |     0.8818  |   0.8656  |               |              1.8404  |
|          |      5  |      1.1045  |     0.8809  |   0.8491  |               |              2.1883  |
|          |      6  |      1.0371  |     0.9209  |   0.8829  |               |              2.5358  |
|          |      7  |      1.0068  |     0.9492  |   0.9033  |               |              2.8836  |
|          |      8  |      0.9624  |     0.9727  |   0.9200  |               |              3.2313  |
|          |      9  |      0.9414  |     0.9795  |   0.9319  |               |              3.5511  |
|          |   eval  |      0.9414  |     0.9795  |   0.9319  |       0.9413  |              3.7004  |
------------------------------------------------------------------------------------------------------
|      22  |      0  |      1.4160  |     0.7148  |   0.6880  |               |              0.3918  |
|          |      1  |      1.2734  |     0.7930  |   0.6902  |               |              0.7712  |
|          |      2  |      1.2168  |     0.8223  |   0.7635  |               |              1.1498  |
|          |      3  |      1.1533  |     0.8604  |   0.8107  |               |              1.4982  |
|          |      4  |      1.1279  |     0.8711  |   0.8568  |               |              1.8458  |
|          |      5  |      1.1055  |     0.8887  |   0.8624  |               |              2.1937  |
|          |      6  |      1.0361  |     0.9268  |   0.8903  |               |              2.5413  |
|          |      7  |      1.0146  |     0.9355  |   0.9078  |               |              2.8892  |
|          |      8  |      0.9761  |     0.9531  |   0.9176  |               |              3.2368  |
|          |      9  |      0.9380  |     0.9785  |   0.9338  |               |              3.5565  |
|          |   eval  |      0.9380  |     0.9785  |   0.9338  |       0.9386  |              3.7058  |
------------------------------------------------------------------------------------------------------
|      23  |      0  |      1.4092  |     0.7100  |   0.6547  |               |              0.3863  |
|          |      1  |      1.2939  |     0.7959  |   0.7467  |               |              0.7658  |
|          |      2  |      1.2432  |     0.8037  |   0.6788  |               |              1.1443  |
|          |      3  |      1.1396  |     0.8789  |   0.7872  |               |              1.4925  |
|          |      4  |      1.1299  |     0.8770  |   0.8627  |               |              1.8400  |
|          |      5  |      1.0879  |     0.8926  |   0.8710  |               |              2.1880  |
|          |      6  |      1.0498  |     0.9131  |   0.8931  |               |              2.5357  |
|          |      7  |      1.0342  |     0.9268  |   0.8863  |               |              2.8836  |
|          |      8  |      0.9722  |     0.9570  |   0.9244  |               |              3.2313  |
|          |      9  |      0.9351  |     0.9854  |   0.9339  |               |              3.5512  |
|          |   eval  |      0.9351  |     0.9854  |   0.9339  |       0.9402  |              3.7005  |
------------------------------------------------------------------------------------------------------
|      24  |      0  |      1.3770  |     0.7480  |   0.6559  |               |              0.3863  |
|          |      1  |      1.2754  |     0.7939  |   0.6966  |               |              0.7657  |
|          |      2  |      1.2256  |     0.8213  |   0.7336  |               |              1.1443  |
|          |      3  |      1.1289  |     0.8848  |   0.8293  |               |              1.4925  |
|          |      4  |      1.1387  |     0.8770  |   0.8487  |               |              1.8400  |
|          |      5  |      1.0986  |     0.8945  |   0.8605  |               |              2.1879  |
|          |      6  |      1.0557  |     0.9160  |   0.8652  |               |              2.5354  |
|          |      7  |      1.0234  |     0.9258  |   0.9018  |               |              2.8834  |
|          |      8  |      0.9590  |     0.9688  |   0.9221  |               |              3.2309  |
|          |      9  |      0.9409  |     0.9814  |   0.9307  |               |              3.5506  |
|          |   eval  |      0.9409  |     0.9814  |   0.9307  |       0.9390  |              3.6999  |
------------------------------------------------------------------------------------------------------
Mean: 0.9401    Std: 0.0012
/workspace/ese-3060-project/logs/1606b2a8-7c5d-43cb-afa4-0b5377836662/log.pt
