------------------------------------------------------------------------------------------------------
|  run     |  epoch  |  train_loss  |  train_acc  |  val_acc  |  tta_val_acc  |  total_time_seconds  |
|          |      5  |      1.0908  |     0.8887  |   0.8755  |               |              2.1835  |
|          |      6  |      1.0381  |     0.9248  |   0.8810  |               |              2.5305  |
|          |      7  |      1.0166  |     0.9385  |   0.8998  |               |              2.8780  |
|          |      8  |      0.9873  |     0.9492  |   0.9268  |               |              3.2251  |
|          |      9  |      0.9424  |     0.9736  |   0.9317  |               |              3.5444  |
|          |   eval  |      0.9424  |     0.9736  |   0.9317  |       0.9394  |              3.6935  |
------------------------------------------------------------------------------------------------------
|      10  |      0  |      1.4707  |     0.6846  |   0.6707  |               |              0.3851  |
|          |      1  |      1.2773  |     0.7939  |   0.7128  |               |              0.7633  |
|          |      2  |      1.2246  |     0.8262  |   0.7002  |               |              1.1409  |
|          |      3  |      1.1572  |     0.8691  |   0.8369  |               |              1.4886  |
|          |      4  |      1.1221  |     0.8711  |   0.8599  |               |              1.8355  |
|          |      5  |      1.1133  |     0.8789  |   0.8590  |               |              2.1829  |
|          |      6  |      1.0547  |     0.9102  |   0.8942  |               |              2.5299  |
|          |      7  |      1.0254  |     0.9307  |   0.8873  |               |              2.8774  |
|          |      8  |      0.9619  |     0.9707  |   0.9215  |               |              3.2244  |
|          |      9  |      0.9399  |     0.9775  |   0.9313  |               |              3.5435  |
|          |   eval  |      0.9399  |     0.9775  |   0.9313  |       0.9394  |              3.6926  |
------------------------------------------------------------------------------------------------------
|      11  |      0  |      1.4131  |     0.7061  |   0.6709  |               |              0.3851  |
|          |      1  |      1.3213  |     0.7705  |   0.6984  |               |              0.7635  |
|          |      2  |      1.2510  |     0.8047  |   0.8065  |               |              1.1410  |
|          |      3  |      1.1904  |     0.8291  |   0.8158  |               |              1.4887  |
|          |      4  |      1.1221  |     0.8896  |   0.8661  |               |              1.8357  |
|          |      5  |      1.0791  |     0.9062  |   0.8705  |               |              2.1831  |
|          |      6  |      1.0654  |     0.9150  |   0.8677  |               |              2.5301  |
|          |      7  |      1.0273  |     0.9297  |   0.8929  |               |              2.8776  |
|          |      8  |      0.9648  |     0.9648  |   0.9177  |               |              3.2247  |
|          |      9  |      0.9429  |     0.9756  |   0.9297  |               |              3.5438  |
|          |   eval  |      0.9429  |     0.9756  |   0.9297  |       0.9386  |              3.6930  |
------------------------------------------------------------------------------------------------------
|      12  |      0  |      1.4248  |     0.7178  |   0.6759  |               |              0.3851  |
|          |      1  |      1.2461  |     0.8242  |   0.7377  |               |              0.7634  |
|          |      2  |      1.1846  |     0.8506  |   0.7942  |               |              1.1411  |
|          |      3  |      1.1699  |     0.8506  |   0.8318  |               |              1.4888  |
|          |      4  |      1.1338  |     0.8779  |   0.8353  |               |              1.8359  |
|          |      5  |      1.1016  |     0.8867  |   0.8796  |               |              2.1833  |
|          |      6  |      1.0312  |     0.9326  |   0.8903  |               |              2.5304  |
|          |      7  |      1.0273  |     0.9287  |   0.8992  |               |              2.8778  |
|          |      8  |      0.9741  |     0.9590  |   0.9245  |               |              3.2249  |
|          |      9  |      0.9365  |     0.9805  |   0.9346  |               |              3.5442  |
|          |   eval  |      0.9365  |     0.9805  |   0.9346  |       0.9419  |              3.6934  |
------------------------------------------------------------------------------------------------------
|      13  |      0  |      1.3926  |     0.7197  |   0.7209  |               |              0.3905  |
|          |      1  |      1.2607  |     0.8135  |   0.7087  |               |              0.7688  |
|          |      2  |      1.2148  |     0.8242  |   0.7830  |               |              1.1463  |
|          |      3  |      1.1787  |     0.8477  |   0.8067  |               |              1.4937  |
|          |      4  |      1.1426  |     0.8643  |   0.8289  |               |              1.8407  |
|          |      5  |      1.0811  |     0.9023  |   0.8562  |               |              2.1882  |
|          |      6  |      1.0400  |     0.9199  |   0.8936  |               |              2.5351  |
|          |      7  |      1.0361  |     0.9121  |   0.8960  |               |              2.8827  |
|          |      8  |      0.9771  |     0.9531  |   0.9257  |               |              3.2298  |
|          |      9  |      0.9409  |     0.9727  |   0.9345  |               |              3.5491  |
|          |   eval  |      0.9409  |     0.9727  |   0.9345  |       0.9406  |              3.6982  |
------------------------------------------------------------------------------------------------------
|      14  |      0  |      1.4082  |     0.7148  |   0.6567  |               |              0.3851  |
|          |      1  |      1.2871  |     0.7861  |   0.7223  |               |              0.7633  |
|          |      2  |      1.2070  |     0.8379  |   0.7392  |               |              1.1410  |
|          |      3  |      1.1484  |     0.8730  |   0.8053  |               |              1.4887  |
|          |      4  |      1.1562  |     0.8584  |   0.8676  |               |              1.8359  |
|          |      5  |      1.0752  |     0.9004  |   0.8562  |               |              2.1834  |
|          |      6  |      1.0488  |     0.9170  |   0.8821  |               |              2.5305  |
|          |      7  |      1.0225  |     0.9336  |   0.8785  |               |              2.8780  |
|          |      8  |      0.9722  |     0.9639  |   0.9237  |               |              3.2250  |
|          |      9  |      0.9492  |     0.9746  |   0.9337  |               |              3.5442  |
|          |   eval  |      0.9492  |     0.9746  |   0.9337  |       0.9402  |              3.6934  |
------------------------------------------------------------------------------------------------------
|      15  |      0  |      1.4316  |     0.7041  |   0.6370  |               |              0.3852  |
|          |      1  |      1.2744  |     0.7891  |   0.7624  |               |              0.7636  |
|          |      2  |      1.1943  |     0.8369  |   0.8119  |               |              1.1411  |
|          |      3  |      1.1709  |     0.8545  |   0.7206  |               |              1.4886  |
|          |      4  |      1.1338  |     0.8652  |   0.8604  |               |              1.8359  |
|          |      5  |      1.0605  |     0.9180  |   0.8236  |               |              2.1833  |
|          |      6  |      1.0400  |     0.9277  |   0.8944  |               |              2.5304  |
|          |      7  |      1.0215  |     0.9316  |   0.8995  |               |              2.8779  |
|          |      8  |      0.9839  |     0.9561  |   0.9211  |               |              3.2250  |
|          |      9  |      0.9390  |     0.9814  |   0.9312  |               |              3.5443  |
