------------------------------------------------------------------------------------------------------
|  run     |  epoch  |  train_loss  |  train_acc  |  val_acc  |  tta_val_acc  |  total_time_seconds  |
|          |      6  |      1.0537  |     0.9141  |   0.8958  |               |              2.5288  |
|          |      7  |      1.0215  |     0.9287  |   0.9022  |               |              2.8758  |
|          |      8  |      0.9824  |     0.9521  |   0.9196  |               |              3.2225  |
|          |      9  |      0.9458  |     0.9746  |   0.9322  |               |              3.5414  |
|          |   eval  |      0.9458  |     0.9746  |   0.9322  |       0.9403  |              3.6906  |
------------------------------------------------------------------------------------------------------
|      10  |      0  |      1.4189  |     0.7314  |   0.6916  |               |              0.3855  |
|          |      1  |      1.2617  |     0.8164  |   0.7147  |               |              0.7638  |
|          |      2  |      1.1875  |     0.8428  |   0.7288  |               |              1.1415  |
|          |      3  |      1.1699  |     0.8477  |   0.8180  |               |              1.4890  |
|          |      4  |      1.1260  |     0.8799  |   0.8303  |               |              1.8357  |
|          |      5  |      1.0811  |     0.9053  |   0.8402  |               |              2.1827  |
|          |      6  |      1.0254  |     0.9268  |   0.8795  |               |              2.5295  |
|          |      7  |      1.0068  |     0.9404  |   0.9008  |               |              2.8768  |
|          |      8  |      0.9795  |     0.9551  |   0.9189  |               |              3.2236  |
|          |      9  |      0.9385  |     0.9775  |   0.9313  |               |              3.5426  |
|          |   eval  |      0.9385  |     0.9775  |   0.9313  |       0.9415  |              3.6919  |
------------------------------------------------------------------------------------------------------
|      11  |      0  |      1.4473  |     0.6953  |   0.6524  |               |              0.3856  |
|          |      1  |      1.2783  |     0.7939  |   0.6858  |               |              0.7642  |
|          |      2  |      1.2256  |     0.8252  |   0.7644  |               |              1.1418  |
|          |      3  |      1.1484  |     0.8721  |   0.8382  |               |              1.4890  |
|          |      4  |      1.1025  |     0.8877  |   0.8590  |               |              1.8359  |
|          |      5  |      1.1006  |     0.8867  |   0.8272  |               |              2.1833  |
|          |      6  |      1.0391  |     0.9277  |   0.8883  |               |              2.5300  |
|          |      7  |      1.0195  |     0.9346  |   0.9027  |               |              2.8772  |
|          |      8  |      0.9595  |     0.9736  |   0.9248  |               |              3.2241  |
|          |      9  |      0.9443  |     0.9766  |   0.9330  |               |              3.5435  |
|          |   eval  |      0.9443  |     0.9766  |   0.9330  |       0.9404  |              3.6929  |
------------------------------------------------------------------------------------------------------
|      12  |      0  |      1.4355  |     0.7070  |   0.6817  |               |              0.3856  |
|          |      1  |      1.2617  |     0.8125  |   0.7725  |               |              0.7641  |
|          |      2  |      1.2158  |     0.8164  |   0.7546  |               |              1.1418  |
|          |      3  |      1.1377  |     0.8799  |   0.8521  |               |              1.4893  |
|          |      4  |      1.1309  |     0.8818  |   0.8442  |               |              1.8360  |
|          |      5  |      1.0947  |     0.9023  |   0.8097  |               |              2.1831  |
|          |      6  |      1.0508  |     0.9180  |   0.8853  |               |              2.5299  |
|          |      7  |      1.0059  |     0.9414  |   0.9001  |               |              2.8771  |
|          |      8  |      0.9849  |     0.9453  |   0.9215  |               |              3.2239  |
|          |      9  |      0.9346  |     0.9824  |   0.9304  |               |              3.5429  |
|          |   eval  |      0.9346  |     0.9824  |   0.9304  |       0.9388  |              3.6922  |
------------------------------------------------------------------------------------------------------
|      13  |      0  |      1.4268  |     0.7178  |   0.6792  |               |              0.3853  |
|          |      1  |      1.2715  |     0.7959  |   0.7528  |               |              0.7637  |
|          |      2  |      1.1982  |     0.8398  |   0.7557  |               |              1.1412  |
|          |      3  |      1.1562  |     0.8496  |   0.8347  |               |              1.4886  |
