------------------------------------------------------------------------------------------------------
|  run     |  epoch  |  train_loss  |  train_acc  |  val_acc  |  tta_val_acc  |  total_time_seconds  |
|          |      4  |      1.1240  |     0.8750  |   0.8526  |               |              1.8421  |
|          |      5  |      1.1143  |     0.8770  |   0.8061  |               |              2.1904  |
|          |      6  |      1.0449  |     0.9111  |   0.8846  |               |              2.5385  |
|          |      7  |      1.0264  |     0.9316  |   0.8950  |               |              2.8868  |
|          |      8  |      0.9600  |     0.9707  |   0.9156  |               |              3.2347  |
|          |      9  |      0.9292  |     0.9854  |   0.9321  |               |              3.5559  |
|          |   eval  |      0.9292  |     0.9854  |   0.9321  |       0.9400  |              3.7057  |
------------------------------------------------------------------------------------------------------
|      11  |      0  |      1.4072  |     0.7070  |   0.6618  |               |              0.3867  |
|          |      1  |      1.2822  |     0.7920  |   0.6577  |               |              0.7664  |
|          |      2  |      1.1875  |     0.8574  |   0.7584  |               |              1.1453  |
|          |      3  |      1.1660  |     0.8604  |   0.8277  |               |              1.4938  |
|          |      4  |      1.1318  |     0.8643  |   0.8518  |               |              1.8419  |
|          |      5  |      1.0938  |     0.8877  |   0.8436  |               |              2.1904  |
|          |      6  |      1.0430  |     0.9238  |   0.8977  |               |              2.5383  |
|          |      7  |      1.0225  |     0.9346  |   0.8995  |               |              2.8867  |
|          |      8  |      0.9736  |     0.9600  |   0.9235  |               |              3.2347  |
|          |      9  |      0.9365  |     0.9785  |   0.9335  |               |              3.5549  |
|          |   eval  |      0.9365  |     0.9785  |   0.9335  |       0.9407  |              3.7047  |
------------------------------------------------------------------------------------------------------
|      12  |      0  |      1.4023  |     0.7314  |   0.6695  |               |              0.3866  |
|          |      1  |      1.2764  |     0.7900  |   0.6973  |               |              0.7662  |
|          |      2  |      1.1904  |     0.8418  |   0.7841  |               |              1.1452  |
|          |      3  |      1.1475  |     0.8652  |   0.8145  |               |              1.4940  |
|          |      4  |      1.1562  |     0.8652  |   0.8243  |               |              1.8419  |
|          |      5  |      1.0957  |     0.8975  |   0.8153  |               |              2.1902  |
|          |      6  |      1.0439  |     0.9141  |   0.8783  |               |              2.5383  |
|          |      7  |      1.0088  |     0.9395  |   0.9015  |               |              2.8866  |
|          |      8  |      0.9683  |     0.9678  |   0.9152  |               |              3.2345  |
|          |      9  |      0.9424  |     0.9814  |   0.9341  |               |              3.5545  |
|          |   eval  |      0.9424  |     0.9814  |   0.9341  |       0.9421  |              3.7042  |
------------------------------------------------------------------------------------------------------
|      13  |      0  |      1.4316  |     0.7109  |   0.6276  |               |              0.3866  |
|          |      1  |      1.2656  |     0.8164  |   0.7732  |               |              0.7664  |
|          |      2  |      1.1855  |     0.8506  |   0.7735  |               |              1.1452  |
|          |      3  |      1.1934  |     0.8408  |   0.7916  |               |              1.4942  |
|          |      4  |      1.1270  |     0.8857  |   0.8239  |               |              1.8423  |
|          |      5  |      1.0693  |     0.9043  |   0.8456  |               |              2.1908  |
|          |      6  |      1.0391  |     0.9199  |   0.8990  |               |              2.5387  |
|          |      7  |      1.0264  |     0.9346  |   0.9041  |               |              2.8869  |
|          |      8  |      0.9634  |     0.9629  |   0.9225  |               |              3.2350  |
|          |      9  |      0.9434  |     0.9775  |   0.9343  |               |              3.5552  |
|          |   eval  |      0.9434  |     0.9775  |   0.9343  |       0.9411  |              3.7049  |
------------------------------------------------------------------------------------------------------
|      14  |      0  |      1.4531  |     0.6992  |   0.5325  |               |              0.3867  |
|          |      1  |      1.3105  |     0.7783  |   0.6912  |               |              0.7669  |
